date,count
2025-06-03,54958
2025-06-04,55098
2025-06-05,55098
2025-06-06,55137
2025-06-07,55156
2025-06-08,55159
2025-06-09,55176
2025-06-10,55176
2025-06-11,55229
2025-06-12,57321
2025-06-13,57343
2025-06-14,57358
2025-06-15,57358
2025-06-16,57365
2025-06-17,57370
2025-06-18,57411
2025-06-19,57411
2025-06-20,57411
2025-06-21,57411
2025-06-22,57454
2025-06-23,57458
2025-06-24,57458
2025-06-25,57461
2025-06-26,57485
2025-06-27,57521
2025-06-28,57536
2025-06-29,57719
2025-06-30,57719
2025-07-01,57719
2025-07-02,57719
2025-07-03,57719
2025-07-04,57848
2025-07-05,57850
2025-07-06,57919
2025-07-07,58060
2025-07-08,58061
2025-07-09,58154
2025-07-10,58392
2025-07-11,58392
2025-07-12,58724
2025-07-13,59126
2025-07-14,59160
2025-07-15,59171
2025-07-16,59210
2025-07-17,59241
2025-07-18,59288
2025-07-19,59292
2025-07-20,59604
2025-07-21,59622
2025-07-22,59654
2025-07-23,59709
2025-07-24,59709
2025-07-25,59709
2025-07-26,59709
2025-07-27,59710
2025-07-28,59710
2025-07-29,59713
2025-07-30,59788
2025-07-31,59794
2025-08-01,59814
2025-08-02,59880
2025-08-03,59983
2025-08-04,59988
2025-08-05,60003
2025-08-06,60004
2025-08-07,60196
2025-08-08,60240
2025-08-09,60244
2025-08-10,60247
2025-08-11,60286
2025-08-12,60330
2025-08-13,60373
2025-08-14,60410
2025-08-15,60462
2025-08-16,60464
2025-08-17,60479
2025-08-18,60494
2025-08-19,60603
2025-08-20,60817
2025-08-21,60835
2025-08-22,60914
2025-08-23,60916
2025-08-24,61014
2025-08-25,61031
2025-08-26,61035
2025-08-27,61058
2025-08-28,61156
2025-08-29,61324
2025-08-30,61429
2025-08-31,61463
2025-09-01,61530
2025-09-02,61722
2025-09-03,61722
2025-09-04,61769
2025-09-05,62085
2025-09-06,62312
2025-09-07,62319
2025-09-08,62407
2025-09-09,62409
2025-09-10,62409
2025-09-11,62424
2025-09-12,62424
2025-09-13,62468
2025-09-14,62511
2025-09-15,62645
2025-09-16,62670
2025-09-17,62682
2025-09-18,62700
2025-09-19,62700
2025-09-20,62758
2025-09-21,62888
2025-09-22,62899
2025-09-23,62961
2025-09-24,62969
2025-09-25,63056
2025-09-26,63063
2025-09-27,63100
2025-09-28,63100
2025-09-29,63245
2025-09-30,63249
2025-10-01,63314
2025-10-02,63463
2025-10-03,63470
2025-10-04,63475
2025-10-05,63497
2025-10-06,63503
2025-10-07,63503
2025-10-08,63507
2025-10-09,63507
2025-10-10,63530
2025-10-11,63547
2025-10-12,63565
2025-10-13,63582
2025-10-14,63619
2025-10-15,63643
2025-10-16,63651
2025-10-17,63744
2025-10-18,63779
2025-10-19,63780
2025-10-20,63782
2025-10-21,63974
2025-10-22,63979
2025-10-23,63987
2025-10-24,64005
2025-10-25,64023
2025-10-26,64023
2025-10-27,64059
2025-10-28,64061
2025-10-29,64061
2025-10-30,64061
2025-10-31,64121
2025-11-01,64142
2025-11-02,64190
2025-11-03,64276
2025-11-04,64294
2025-11-05,64294
2025-11-06,64294
2025-11-07,64447
2025-11-08,64498
2025-11-09,64558
2025-11-10,64570
2025-11-11,64607
2025-11-12,64850
2025-11-13,64868
2025-11-14,64880
2025-11-15,64891
2025-11-16,64896
2025-11-17,64901
2025-11-18,64949
2025-11-19,64949
2025-11-20,64999
2025-11-21,65085
2025-11-22,65145
2025-11-23,65218
2025-11-24,65251
2025-11-25,65288
2025-11-26,65293
2025-11-27,65293
2025-11-28,65330
2025-11-29,65338
2025-11-30,65766
2025-12-01,65771
2025-12-02,65954
2025-12-03,65956
2025-12-04,65957
2025-12-05,65988
2025-12-06,65999
2025-12-07,66041
2025-12-08,66055
2025-12-09,66059
2025-12-10,66096
2025-12-11,66683
2025-12-12,66684
